ID,Detail,Cause,Result
20140118-0,Landing mishaps;Landing after unstabilized approach;Runway excursion;Low visibility,LANDING/TAKEOFF;WEATHER,Runway excursion
20140128-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20140222-0,Landing mishaps;Landing after unstabilized approach;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20140508-0,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20140722-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20140729-0,Landing mishaps;Bounced on landing;Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20140920-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20141001-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20141020-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20141028-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20150109-0,Landing mishaps;Landing after unstabilized approach;Runway mishap,LANDING/TAKEOFF,Runway mishap
20150202-0,Landing mishaps;Landing after unstabilized approach;Runway mishap,LANDING/TAKEOFF,Runway mishap
20150314-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20150403-8,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20150530-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20150724-0,Landing mishaps;Bounced on landing;Runway excursion;Landing after unstabilized approach,LANDING/TAKEOFF,Runway excursion
20150731-0,Landing mishaps;Landing after unstabilized approach;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20150821-0,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20150828-1,Landing mishaps;Runway mishap;Heavy landing;Windshear/downdraft,LANDING/TAKEOFF;WEATHER,Runway mishap
20150927-0,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20151221-0,Landing mishaps;Runway excursion;High speed landing,LANDING/TAKEOFF,Runway excursion
20151230-0,Landing mishaps;Icing;Heavy landing;Loss of control,LANDING/TAKEOFF;WEATHER,Loss of control
20160323-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20160428-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20160619-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20160707-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20160805-0,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20160824-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20160913-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20160917-1,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20161013-1,Landing mishaps;Late landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20161022-0,Landing mishaps;Bounced on landing;Runway mishap;Landing after unstabilized approach,LANDING/TAKEOFF,Runway mishap
20161204-1,Landing mishaps;Landing after unstabilized approach;Runway excursion;Heavy landing,LANDING/TAKEOFF,Runway excursion
20161225-1,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20170505-0,Landing mishaps;Landing after unstabilized approach;Loss of control,LANDING/TAKEOFF,Loss of control
20170515-1,Landing mishaps;Landing after unstabilized approach;Loss of control,LANDING/TAKEOFF,Loss of control
20170524-0,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20170524-1,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20170530-3,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20170531-1,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20170611-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20170623-0,Landing mishaps;Bounced on landing;Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20170718-0,Landing mishaps;Bounced on landing;Runway excursion,LANDING/TAKEOFF,Runway excursion
20170726-0,Landing mishaps;Landing after unstabilized approach;Runway mishap,LANDING/TAKEOFF,Runway mishap
20170804-0,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20170909-0,Landing mishaps;Landing after unstabilized approach;Runway excursion,LANDING/TAKEOFF,Runway excursion
20170915-0,Landing mishaps;Landing after unstabilized approach;Runway mishap;Tailstrike,LANDING/TAKEOFF,Runway mishap
20171004-0,Landing mishaps;Bounced on landing;Runway mishap,LANDING/TAKEOFF,Runway mishap
20171024-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
20171027-0,Landing mishaps;Runway mishap;Heavy landing,LANDING/TAKEOFF,Runway mishap
